Accession	Protein	Gene	Gene_protein	X153173_BSA_d3_H	X153173_IL13_d3_H	X153741_BSA_d3_H	X153741_IL13_d3_H	X154142_BSA_d3_A	X154142_IL13_d3_A	X154417_BSA_d3_A	X154417_IL13_d3_A	X154651_BSA_d3_A	X154651_IL13_d3_A	X155404_BSA_d3_H	X155404_IL13_d3_H
CYTM_HUMAN	Cystatin-M OS=Homo sapiens GN=CST6 PE=1 SV=1	CST6	CST6_CYTM	0	0	0	0	0	0	0	0	1	0	0	0
CYTA_HUMAN	Cystatin-A OS=Homo sapiens GN=CSTA PE=1 SV=1	CSTA	CSTA_CYTA	2	2	1	2	0	1	0	3	1	1	0	2
CYTB_HUMAN	Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2	CSTB	CSTB_CYTB	1	2	1	2	1	1	1	1	1	1	1	1
CTBP1_HUMAN	C-terminal-binding protein 1 OS=Homo sapiens GN=CTBP1 PE=1 SV=2	CTBP1	CTBP1_CTBP1	0	0	0	0	0	0	0	1	0	0	0	0
CTNA1_HUMAN	Catenin alpha-1 OS=Homo sapiens GN=CTNNA1 PE=1 SV=1	CTNNA1	CTNNA1_CTNA1	0	2	1	2	0	0	0	2	0	3	0	0
CTNB1_HUMAN	Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1	CTNNB1	CTNNB1_CTNB1	0	0	0	1	0	0	0	2	0	1	0	0
CTND1_HUMAN	Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1	CTNND1	CTNND1_CTND1	0	1	3	2	1	0	1	1	0	4	0	1
PPGB_HUMAN	Lysosomal protective protein OS=Homo sapiens GN=CTSA PE=1 SV=2	CTSA	CTSA_PPGB	0	0	0	0	0	0	1	0	0	0	0	0
CATB_HUMAN	Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3	CTSB	CTSB_CATB	4	3	6	4	6	4	6	6	5	5	3	4
CATC_HUMAN	Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC PE=1 SV=2	CTSC	CTSC_CATC	0	9	4	6	2	8	2	8	4	10	2	8
CATD_HUMAN	Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1	CTSD	CTSD_CATD	7	7	4	4	9	6	7	10	9	8	9	10
CATH_HUMAN	Pro-cathepsin H OS=Homo sapiens GN=CTSH PE=1 SV=4	CTSH	CTSH_CATH	0	0	0	1	2	1	0	2	0	0	0	0
CATS_HUMAN	Cathepsin S OS=Homo sapiens GN=CTSS PE=1 SV=3	CTSS	CTSS_CATS	0	0	0	0	0	0	1	0	0	1	0	0
CATZ_HUMAN	Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1	CTSZ	CTSZ_CATZ	0	0	0	1	0	1	0	0	0	1	0	0
SRC8_HUMAN	Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2	CTTN	CTTN_SRC8	0	0	0	0	0	0	0	0	0	2	0	0
CYB5_HUMAN	Cytochrome b5 OS=Homo sapiens GN=CYB5A PE=1 SV=2	CYB5A	CYB5A_CYB5	1	1	2	1	1	1	1	0	1	1	1	1
CYB5B_HUMAN	Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2	CYB5B	CYB5B_CYB5B	1	3	1	1	0	3	1	1	1	0	0	0
NB5R1_HUMAN	NADH-cytochrome b5 reductase 1 OS=Homo sapiens GN=CYB5R1 PE=1 SV=1	CYB5R1	CYB5R1_NB5R1	0	3	3	4	1	1	1	4	1	4	0	2
NB5R3_HUMAN	NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3 PE=1 SV=3	CYB5R3	CYB5R3_NB5R3	1	5	3	4	1	5	0	5	0	5	0	3
CY1_HUMAN	"Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens GN=CYC1 PE=1 SV=3"	CYC1	CYC1_CY1	0	0	0	0	0	0	0	0	0	0	0	1
CYC_HUMAN	Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2	CYCS	CYCS_CYC	0	0	0	0	0	0	0	0	0	1	0	0
CYFP1_HUMAN	Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens GN=CYFIP1 PE=1 SV=1	CYFIP1	CYFIP1_CYFP1	0	3	2	2	2	1	1	2	0	3	1	1
CYR61_HUMAN	Protein CYR61 OS=Homo sapiens GN=CYR61 PE=1 SV=1	CYR61	CYR61_CYR61	0	0	0	1	0	0	0	1	0	0	0	0
DAD1_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens GN=DAD1 PE=1 SV=3	DAD1	DAD1_DAD1	0	0	0	0	0	0	1	0	0	0	1	0
SYDC_HUMAN	"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens GN=DARS PE=1 SV=2"	DARS	DARS_SYDC	0	1	1	2	0	1	0	0	0	0	0	0
SYDM_HUMAN	"Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens GN=DARS2 PE=1 SV=1"	DARS2	DARS2_SYDM	0	0	0	0	0	0	0	0	0	1	0	0
ACBP_HUMAN	Acyl-CoA-binding protein OS=Homo sapiens GN=DBI PE=1 SV=2	DBI	DBI_ACBP	0	0	0	2	1	0	1	1	2	2	0	1
DBNL_HUMAN	Drebrin-like protein OS=Homo sapiens GN=DBNL PE=1 SV=1	DBNL	DBNL_DBNL	1	0	1	1	0	0	0	1	1	1	1	0
ODB2_HUMAN	"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DBT PE=1 SV=3"	DBT	DBT_ODB2	0	1	1	0	0	0	0	1	0	1	0	0
DCTN1_HUMAN	Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 PE=1 SV=3	DCTN1	DCTN1_DCTN1	0	0	2	0	0	0	0	0	0	1	0	0
OST48_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4	DDOST	DDOST_OST48	0	2	2	1	1	3	1	2	1	4	0	3
DDRGK_HUMAN	DDRGK domain-containing protein 1 OS=Homo sapiens GN=DDRGK1 PE=1 SV=2	DDRGK1	DDRGK1_DDRGK	0	1	0	0	0	0	0	0	0	0	0	0
DDTL_HUMAN	D-dopachrome decarboxylase-like protein OS=Homo sapiens GN=DDTL PE=2 SV=1	DDTL	DDTL_DDTL	0	0	0	0	0	0	0	0	0	1	0	0
DDX1_HUMAN	ATP-dependent RNA helicase DDX1 OS=Homo sapiens GN=DDX1 PE=1 SV=2	DDX1	DDX1_DDX1	0	0	0	0	0	1	0	0	0	0	0	0
DDX17_HUMAN	Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=2	DDX17	DDX17_DDX17	0	1	4	0	4	0	0	5	4	2	2	1
DX39A_HUMAN	ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2	DDX39A	DDX39A_DX39A	0	0	0	1	0	0	0	1	0	1	1	0
DX39B_HUMAN	Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=1 SV=1	DDX39B	DDX39B_DX39B	2	2	4	0	3	0	2	0	2	0	0	0
DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3	DDX3X	DDX3X_DDX3X	0	0	3	0	2	1	0	2	0	2	1	1
DDX5_HUMAN	Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1	DDX5	DDX5_DDX5	0	0	7	1	3	0	1	3	3	3	0	0
DDX6_HUMAN	Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens GN=DDX6 PE=1 SV=2	DDX6	DDX6_DDX6	0	1	1	0	0	0	0	0	0	0	0	0
DDX60_HUMAN	Probable ATP-dependent RNA helicase DDX60 OS=Homo sapiens GN=DDX60 PE=1 SV=3	DDX60	DDX60_DDX60	0	1	0	1	0	0	0	0	0	0	0	0
DECR_HUMAN	"2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens GN=DECR1 PE=1 SV=1"	DECR1	DECR1_DECR	0	2	1	1	2	1	1	3	1	2	0	1
DEGS2_HUMAN	Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 OS=Homo sapiens GN=DEGS2 PE=1 SV=2	DEGS2	DEGS2_DEGS2	0	0	0	0	0	1	0	0	0	0	0	0
DESM_HUMAN	Desmin OS=Homo sapiens GN=DES PE=1 SV=3	DES	DES_DESM	0	0	0	0	0	0	0	1	0	0	0	0
DHCR7_HUMAN	7-dehydrocholesterol reductase OS=Homo sapiens GN=DHCR7 PE=1 SV=1	DHCR7	DHCR7_DHCR7	0	1	1	1	0	0	0	1	0	1	0	1
DHRS7_HUMAN	Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens GN=DHRS7 PE=1 SV=1	DHRS7	DHRS7_DHRS7	0	0	0	1	0	2	0	2	0	1	0	0
DHRS9_HUMAN	Dehydrogenase/reductase SDR family member 9 OS=Homo sapiens GN=DHRS9 PE=1 SV=1	DHRS9	DHRS9_DHRS9	0	1	0	0	0	0	0	0	0	0	0	0
DHX9_HUMAN	ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4	DHX9	DHX9_DHX9	0	1	2	0	2	0	3	0	0	0	2	0
ODP2_HUMAN	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=1 SV=3"	DLAT	DLAT_ODP2	0	1	1	0	0	0	0	1	0	0	1	0
DLDH_HUMAN	"Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2"	DLD	DLD_DLDH	2	2	2	2	1	3	1	3	3	2	2	3
DLG1_HUMAN	Disks large homolog 1 OS=Homo sapiens GN=DLG1 PE=1 SV=2	DLG1	DLG1_DLG1	0	0	0	0	1	0	0	0	0	1	0	0
ODO2_HUMAN	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=4"	DLST	DLST_ODO2	0	1	3	2	3	0	3	3	2	2	0	2
DNJA1_HUMAN	DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2	DNAJA1	DNAJA1_DNJA1	0	0	2	0	0	0	0	1	1	1	0	0
DNJA2_HUMAN	DnaJ homolog subfamily A member 2 OS=Homo sapiens GN=DNAJA2 PE=1 SV=1	DNAJA2	DNAJA2_DNJA2	0	1	1	0	0	1	1	0	0	0	0	0
DNJA4_HUMAN	DnaJ homolog subfamily A member 4 OS=Homo sapiens GN=DNAJA4 PE=1 SV=1	DNAJA4	DNAJA4_DNJA4	0	0	0	0	1	0	0	0	0	0	0	0
DNJB1_HUMAN	DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4	DNAJB1	DNAJB1_DNJB1	1	1	3	3	0	0	0	2	1	1	0	0
DJB11_HUMAN	DnaJ homolog subfamily B member 11 OS=Homo sapiens GN=DNAJB11 PE=1 SV=1	DNAJB11	DNAJB11_DJB11	0	1	1	1	0	0	0	1	1	1	0	0
DJC10_HUMAN	DnaJ homolog subfamily C member 10 OS=Homo sapiens GN=DNAJC10 PE=1 SV=2	DNAJC10	DNAJC10_DJC10	0	0	0	0	0	0	0	0	0	2	0	1
DNJC3_HUMAN	DnaJ homolog subfamily C member 3 OS=Homo sapiens GN=DNAJC3 PE=1 SV=1	DNAJC3	DNAJC3_DNJC3	0	1	0	0	0	0	0	1	0	3	0	0
DNM1L_HUMAN	Dynamin-1-like protein OS=Homo sapiens GN=DNM1L PE=1 SV=2	DNM1L	DNM1L_DNM1L	0	1	0	0	0	0	0	0	0	0	0	0
DYN2_HUMAN	Dynamin-2 OS=Homo sapiens GN=DNM2 PE=1 SV=2	DNM2	DNM2_DYN2	0	2	2	0	0	0	0	0	0	0	0	0
DPM1_HUMAN	Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens GN=DPM1 PE=1 SV=1	DPM1	DPM1_DPM1	0	0	1	1	0	1	0	0	0	0	0	0
DPM3_HUMAN	Dolichol-phosphate mannosyltransferase subunit 3 OS=Homo sapiens GN=DPM3 PE=1 SV=2	DPM3	DPM3_DPM3	0	1	0	1	0	1	0	1	0	1	0	0
DPP4_HUMAN	Dipeptidyl peptidase 4 OS=Homo sapiens GN=DPP4 PE=1 SV=2	DPP4	DPP4_DPP4	0	1	0	0	0	0	0	3	0	0	0	0
DESP_HUMAN	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	DSP	DSP_DESP	1	2	4	2	1	1	2	1	1	2	0	0
DEST_HUMAN	Destrin OS=Homo sapiens GN=DSTN PE=1 SV=3	DSTN	DSTN_DEST	1	4	3	3	2	1	2	4	3	3	0	1
DUOX1_HUMAN	Dual oxidase 1 OS=Homo sapiens GN=DUOX1 PE=1 SV=1	DUOX1	DUOX1_DUOX1	0	0	0	0	0	0	0	1	0	0	0	0
DUOX2_HUMAN	Dual oxidase 2 OS=Homo sapiens GN=DUOX2 PE=1 SV=2	DUOX2	DUOX2_DUOX2	0	0	0	2	0	3	0	0	0	2	0	2
DYHC1_HUMAN	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5	DYNC1H1	DYNC1H1_DYHC1	0	10	6	4	2	5	2	6	1	6	2	5
DC1I2_HUMAN	Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2 PE=1 SV=3	DYNC1I2	DYNC1I2_DC1I2	0	0	0	1	0	0	0	0	0	0	0	0
DC1L2_HUMAN	Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens GN=DYNC1LI2 PE=1 SV=1	DYNC1LI2	DYNC1LI2_DC1L2	0	0	0	0	0	0	0	0	1	0	0	0
DYL1_HUMAN	"Dynein light chain 1, cytoplasmic OS=Homo sapiens GN=DYNLL1 PE=1 SV=1"	DYNLL1	DYNLL1_DYL1	1	0	1	0	0	0	0	0	2	0	0	0
DYL2_HUMAN	"Dynein light chain 2, cytoplasmic OS=Homo sapiens GN=DYNLL2 PE=1 SV=1"	DYNLL2	DYNLL2_DYL2	0	0	0	0	0	0	0	0	2	0	0	0
DLRB1_HUMAN	Dynein light chain roadblock-type 1 OS=Homo sapiens GN=DYNLRB1 PE=1 SV=3	DYNLRB1	DYNLRB1_DLRB1	0	0	1	1	1	1	0	1	1	0	0	0
DYLT1_HUMAN	Dynein light chain Tctex-type 1 OS=Homo sapiens GN=DYNLT1 PE=1 SV=1	DYNLT1	DYNLT1_DYLT1	1	0	1	0	0	0	0	1	1	0	0	0
ECH1_HUMAN	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2"	ECH1	ECH1_ECH1	2	9	3	5	1	3	2	3	3	8	3	5
ECHM_HUMAN	"Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=ECHS1 PE=1 SV=4"	ECHS1	ECHS1_ECHM	4	6	12	8	5	1	6	5	2	4	1	5
ECI1_HUMAN	"Enoyl-CoA delta isomerase 1, mitochondrial OS=Homo sapiens GN=ECI1 PE=1 SV=1"	ECI1	ECI1_ECI1	1	1	1	4	0	0	0	1	0	3	0	1
ECM1_HUMAN	Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1 PE=1 SV=2	ECM1	ECM1_ECM1	0	2	0	0	0	0	0	0	0	0	0	0
EEA1_HUMAN	Early endosome antigen 1 OS=Homo sapiens GN=EEA1 PE=1 SV=2	EEA1	EEA1_EEA1	0	1	0	0	1	2	0	0	0	2	0	2
EF1A1_HUMAN	Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	EEF1A1	EEF1A1_EF1A1	7	13	7	7	6	9	7	9	5	10	7	8
EFMT1_HUMAN	EEF1A lysine methyltransferase 1 OS=Homo sapiens GN=EEF1AKMT1 PE=1 SV=1	EEF1AKMT1	EEF1AKMT1_EFMT1	0	1	0	0	0	0	0	0	0	1	0	0
EF1B_HUMAN	Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3	EEF1B2	EEF1B2_EF1B	1	3	0	1	3	0	0	2	0	3	0	1
EF1D_HUMAN	Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5	EEF1D	EEF1D_EF1D	2	5	2	3	4	3	4	3	2	5	4	3
MCA3_HUMAN	Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1 PE=1 SV=1	EEF1E1	EEF1E1_MCA3	0	0	0	0	1	0	0	0	0	1	0	0
EF1G_HUMAN	Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3	EEF1G	EEF1G_EF1G	2	4	1	5	3	3	3	4	5	4	2	2
EF2_HUMAN	Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	EEF2	EEF2_EF2	7	12	13	8	11	13	10	9	5	16	9	10
EFHD1_HUMAN	EF-hand domain-containing protein D1 OS=Homo sapiens GN=EFHD1 PE=1 SV=1	EFHD1	EFHD1_EFHD1	0	1	0	0	0	0	0	0	0	0	0	0
U5S1_HUMAN	116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1	EFTUD2	EFTUD2_U5S1	0	0	0	0	0	0	0	0	0	0	0	1
EHD4_HUMAN	EH domain-containing protein 4 OS=Homo sapiens GN=EHD4 PE=1 SV=1	EHD4	EHD4_EHD4	0	0	1	0	0	0	0	1	1	1	0	0
IF2A_HUMAN	Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3	EIF2S1	EIF2S1_IF2A	0	2	0	0	0	0	0	2	0	1	0	0
EIF3A_HUMAN	Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1	EIF3A	EIF3A_EIF3A	0	0	0	0	1	0	0	0	0	0	0	0
EIF3B_HUMAN	Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3	EIF3B	EIF3B_EIF3B	0	0	1	0	0	1	0	1	0	0	0	0
EIFCL_HUMAN	Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1	EIF3CL	EIF3CL_EIFCL	0	0	0	0	0	0	0	1	0	0	0	0
EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1	EIF3F	EIF3F_EIF3F	0	0	0	0	0	0	0	0	0	0	0	1
EIF3I_HUMAN	Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1	EIF3I	EIF3I_EIF3I	0	1	1	1	1	0	0	1	1	1	1	1
EIF3L_HUMAN	Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=1 SV=1	EIF3L	EIF3L_EIF3L	0	0	0	0	1	0	0	0	0	0	0	0
IF4A1_HUMAN	Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1	EIF4A1	EIF4A1_IF4A1	2	1	7	4	3	1	4	2	4	1	2	1
IF4A3_HUMAN	Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4	EIF4A3	EIF4A3_IF4A3	0	0	0	0	0	0	1	0	0	0	0	0
IF4H_HUMAN	Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5	EIF4H	EIF4H_IF4H	1	0	0	0	0	0	1	1	0	0	0	0
IF5A1_HUMAN	Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2	EIF5A	EIF5A_IF5A1	2	1	2	0	2	1	1	2	1	2	3	1
EMD_HUMAN	Emerin OS=Homo sapiens GN=EMD PE=1 SV=1	EMD	EMD_EMD	0	0	0	0	1	0	0	0	1	1	1	1
ENDOU_HUMAN	Poly(U)-specific endoribonuclease OS=Homo sapiens GN=ENDOU PE=1 SV=2	ENDOU	ENDOU_ENDOU	0	0	0	0	0	0	0	1	0	0	0	0
ENOA_HUMAN	Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	ENO1	ENO1_ENOA	11	16	13	11	11	11	12	16	14	20	13	16
E41L1_HUMAN	Band 4.1-like protein 1 OS=Homo sapiens GN=EPB41L1 PE=1 SV=2	EPB41L1	EPB41L1_E41L1	0	0	1	0	0	0	0	0	0	0	0	0
EPCAM_HUMAN	Epithelial cell adhesion molecule OS=Homo sapiens GN=EPCAM PE=1 SV=2	EPCAM	EPCAM_EPCAM	0	0	1	0	0	0	0	0	0	0	0	0
HYEP_HUMAN	Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1	EPHX1	EPHX1_HYEP	2	2	4	5	2	3	1	5	2	6	2	5
EPIPL_HUMAN	Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=2	EPPK1	EPPK1_EPIPL	0	0	5	5	2	1	3	8	3	8	1	2
SYEP_HUMAN	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	EPRS	EPRS_SYEP	0	4	1	2	1	1	1	2	1	2	1	1
EPS8_HUMAN	Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens GN=EPS8 PE=1 SV=1	EPS8	EPS8_EPS8	0	0	0	0	0	0	0	1	0	0	0	0
ES8L1_HUMAN	Epidermal growth factor receptor kinase substrate 8-like protein 1 OS=Homo sapiens GN=EPS8L1 PE=1 SV=3	EPS8L1	EPS8L1_ES8L1	0	3	0	1	1	2	1	3	0	1	0	2
ES8L2_HUMAN	Epidermal growth factor receptor kinase substrate 8-like protein 2 OS=Homo sapiens GN=EPS8L2 PE=1 SV=2	EPS8L2	EPS8L2_ES8L2	0	1	2	1	0	0	0	1	0	0	0	0
ES8L3_HUMAN	Epidermal growth factor receptor kinase substrate 8-like protein 3 OS=Homo sapiens GN=EPS8L3 PE=1 SV=2	EPS8L3	EPS8L3_ES8L3	0	0	0	0	0	0	0	1	0	0	0	0
ERAP1_HUMAN	Endoplasmic reticulum aminopeptidase 1 OS=Homo sapiens GN=ERAP1 PE=1 SV=3	ERAP1	ERAP1_ERAP1	0	0	0	0	0	0	0	1	0	0	0	0
ERGI1_HUMAN	Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Homo sapiens GN=ERGIC1 PE=1 SV=1	ERGIC1	ERGIC1_ERGI1	0	1	0	1	0	1	0	2	0	1	0	2
ERGI3_HUMAN	Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Homo sapiens GN=ERGIC3 PE=1 SV=1	ERGIC3	ERGIC3_ERGI3	0	0	1	0	0	0	0	0	0	0	0	0
ERH_HUMAN	Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1	ERH	ERH_ERH	0	1	0	0	1	0	0	0	1	0	0	1
ERLN1_HUMAN	Erlin-1 OS=Homo sapiens GN=ERLIN1 PE=1 SV=1	ERLIN1	ERLIN1_ERLN1	1	2	2	2	0	1	1	2	2	0	1	0
ERMP1_HUMAN	Endoplasmic reticulum metallopeptidase 1 OS=Homo sapiens GN=ERMP1 PE=1 SV=2	ERMP1	ERMP1_ERMP1	0	0	2	0	0	0	0	1	0	2	0	0
ERO1A_HUMAN	ERO1-like protein alpha OS=Homo sapiens GN=ERO1A PE=1 SV=2	ERO1A	ERO1A_ERO1A	1	6	3	6	2	7	1	6	3	8	0	7
ERP29_HUMAN	Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4	ERP29	ERP29_ERP29	2	0	4	2	2	3	2	2	2	4	1	3
ERP44_HUMAN	Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1	ERP44	ERP44_ERP44	1	2	2	1	0	1	1	4	0	2	1	4
ETFA_HUMAN	"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens GN=ETFA PE=1 SV=1"	ETFA	ETFA_ETFA	1	7	6	4	2	3	0	6	1	2	2	2
ETFB_HUMAN	Electron transfer flavoprotein subunit beta OS=Homo sapiens GN=ETFB PE=1 SV=3	ETFB	ETFB_ETFB	1	4	2	3	1	1	2	3	2	2	0	1
ETFD_HUMAN	"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Homo sapiens GN=ETFDH PE=1 SV=2"	ETFDH	ETFDH_ETFD	0	0	1	0	0	0	0	0	0	0	0	0
ETHE1_HUMAN	"Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens GN=ETHE1 PE=1 SV=2"	ETHE1	ETHE1_ETHE1	0	2	2	0	1	0	1	2	0	0	0	0
EVPL_HUMAN	Envoplakin OS=Homo sapiens GN=EVPL PE=1 SV=3	EVPL	EVPL_EVPL	0	2	0	0	0	0	0	0	0	1	0	0
EWS_HUMAN	RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1	EWSR1	EWSR1_EWS	1	1	0	0	1	1	0	0	1	1	0	0
EZRI_HUMAN	Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4	EZR	EZR_EZRI	18	13	16	16	21	13	20	13	23	14	17	9
TF_HUMAN	Tissue factor OS=Homo sapiens GN=F3 PE=1 SV=1	F3	F3_TF	0	0	0	0	1	0	0	1	0	0	1	0
FABP5_HUMAN	"Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3"	FABP5	FABP5_FABP5	1	2	0	0	0	0	2	3	1	2	0	1
NIBL1_HUMAN	Niban-like protein 1 OS=Homo sapiens GN=FAM129B PE=1 SV=3	FAM129B	FAM129B_NIBL1	0	4	0	1	0	0	0	2	0	0	3	0
F162A_HUMAN	Protein FAM162A OS=Homo sapiens GN=FAM162A PE=1 SV=2	FAM162A	FAM162A_F162A	0	0	0	1	0	0	0	1	0	1	0	0
F213A_HUMAN	Redox-regulatory protein FAM213A OS=Homo sapiens GN=FAM213A PE=1 SV=3	FAM213A	FAM213A_F213A	0	1	0	0	0	0	0	0	0	0	0	0
FAM3C_HUMAN	Protein FAM3C OS=Homo sapiens GN=FAM3C PE=1 SV=1	FAM3C	FAM3C_FAM3C	0	2	2	3	1	1	1	2	1	1	1	1
FAM3D_HUMAN	Protein FAM3D OS=Homo sapiens GN=FAM3D PE=1 SV=1	FAM3D	FAM3D_FAM3D	1	1	2	0	0	0	2	1	0	1	1	2
FA46D_HUMAN	Putative nucleotidyltransferase FAM46D OS=Homo sapiens GN=FAM46D PE=1 SV=1	FAM46D	FAM46D_FA46D	0	0	1	0	0	0	0	0	0	0	0	0
FA81B_HUMAN	Protein FAM81B OS=Homo sapiens GN=FAM81B PE=1 SV=3	FAM81B	FAM81B_FA81B	0	0	0	0	0	0	0	0	0	0	0	1
FA83H_HUMAN	Protein FAM83H OS=Homo sapiens GN=FAM83H PE=1 SV=3	FAM83H	FAM83H_FA83H	0	0	0	0	0	0	0	1	0	0	0	0
FANCM_HUMAN	Fanconi anemia group M protein OS=Homo sapiens GN=FANCM PE=1 SV=2	FANCM	FANCM_FANCM	0	0	0	0	0	1	0	0	0	0	0	0
FARP1_HUMAN	"FERM, ARHGEF and pleckstrin domain-containing protein 1 OS=Homo sapiens GN=FARP1 PE=1 SV=1"	FARP1	FARP1_FARP1	0	0	0	0	0	1	0	0	0	1	0	1
